指数代号,指数名称,1级分类,2级分类,对应行业代码,,,,,,
883018.WI,证监会农林牧渔,1,0,,,,,,,
883019.WI,证监会采矿业,1,0,,,,,,,
883020.WI,证监会制造业,1,0,,,,,,,
883021.WI,证监会水电煤气,1,0,,,,,,,
883022.WI,证监会建筑业,1,0,,,,,,,
883023.WI,证监会批发零售,1,0,,,,,,,
883024.WI,证监会交运仓储,1,0,,,,,,,
883025.WI,证监会住宿餐饮,1,0,,,,,,,
883026.WI,证监会信息技术,1,0,,,,,,,
883027.WI,证监会金融业,1,0,,,,,,,
883028.WI,证监会房地产,1,0,113,,,,,,
883029.WI,证监会租赁商务,1,0,,,,,,,
883030.WI,证监会科研技术,1,0,,,,,,,
883031.WI,证监会水利环境,1,0,,,,,,,
883032.WI,证监会卫生社会,1,0,,,,,,,
883033.WI,证监会文化体育,1,0,,,,,,,
883034.WI,证监会综合企业,1,0,,,,,,,
883035.WI,证监会教育,1,0,,,,,,,
883111.WI,证监会食品加工,0,1,011,012,013,014,015,016,017
883112.WI,证监会食品制造,0,1,018,019,020,021,,,
883113.WI,证监会饮料制造,0,1,022,023,,,,,
883114.WI,证监会纺织,0,1,025,026,027,,,,
883115.WI,证监会纺织服装,0,1,028,029,030,,,,
883116.WI,证监会皮革制鞋,0,1,031,,,,,,
883117.WI,证监会木材加工,0,1,032,,,,,,
883118.WI,证监会家具制造,0,1,033,,,,,,
883119.WI,证监会造纸,0,1,034,,,,,,
883120.WI,证监会印刷,0,1,035,,,,,,
883121.WI,证监会文体用品,0,1,036,,,,,,
883122.WI,证监会石油炼焦,0,1,037,038,,,,,
883123.WI,证监会化学制品,0,1,039,040,041,042,043,044,045
883124.WI,证监会医药制造,0,1,046,,,,,,
883125.WI,证监会化纤制造,0,1,047,,,,,,
883126.WI,证监会橡胶塑料,0,1,048,049,,,,,
883127.WI,证监会非金属,0,1,050,051,052,053,054,055,056
883128.WI,证监会黑色金属,0,1,057,058,059,,,,
883129.WI,证监会有色金属,0,1,061,062,,,,,
883130.WI,证监会金属制品,0,1,063,,,,,,
883131.WI,证监会通用设备,0,1,064,065,066,067,068,,
883132.WI,证监会专用设备,0,1,069,070,071,072,,,
883133.WI,证监会汽车制造,0,1,074,,,,,,
883134.WI,证监会运输设备,0,1,073,075,076,,,,
883135.WI,证监会电气机械,0,1,077,078,079,080,081,,
883136.WI,证监会电子设备,0,1,082,083,084,085,086,087,
883137.WI,证监会仪器仪表,0,1,088,,,,,,
883138.WI,证监会其他制造业,0,1,089,090,,,,,
883139.WI,证监会农业,0,1,001,,,,,,
883140.WI,证监会林业,0,1,002,,,,,,
883141.WI,证监会畜牧,0,1,003,,,,,,
883142.WI,证监会渔业,0,1,004,,,,,,
883143.WI,证监会农林牧渔服务,0,1,005,,,,,,
883144.WI,证监会煤炭开采,0,1,006,,,,,,
883145.WI,证监会石油天然气开采,0,1,007,,,,,,
883146.WI,证监会黑色金属矿采选,0,1,008,,,,,,
883147.WI,证监会有色金属矿采选,0,1,009,,,,,,
883148.WI,证监会开采辅助活动,0,1,010,,,,,,
883149.WI,证监会电热生产供应,0,1,092,,,,,,
883150.WI,证监会燃气生产供应,0,1,093,,,,,,
883151.WI,证监会水生产供应,0,1,094,,,,,,
883152.WI,证监会房屋建筑,0,1,,,,,,,
883153.WI,证监会土木工程建筑,0,1,,,,,,,
883154.WI,证监会建筑安装,0,1,,,,,,,
883155.WI,证监会建筑装饰,0,1,095,,,,,,
883156.WI,证监会批发,0,1,108,,,,,,
883157.WI,证监会零售,0,1,,,,,,,
883158.WI,证监会铁路运输,0,1,096,,,,,,
883159.WI,证监会道路运输,0,1,097,098,,,,,
883160.WI,证监会水上运输,0,1,099,,,,,,
883161.WI,证监会航空运输,0,1,100,,,,,,
883162.WI,证监会管道运输,0,1,101,,,,,,
883163.WI,证监会运输代理,0,1,102,,,,,,
883164.WI,证监会仓储,0,1,103,,,,,,
883165.WI,证监会住宿,0,1,109,,,,,,
883166.WI,证监会餐饮,0,1,110,,,,,,
883167.WI,证监会电信广电卫星,0,1,105,,,,,,
883168.WI,证监会互联网,0,1,NaN,,,,,,
883169.WI,证监会软件信息技术,0,1,106,107,,,,,
883170.WI,证监会货币金融服务,0,1,111,,,,,,
883171.WI,证监会资本市场服务,0,1,NaN,,,,,,
883172.WI,证监会保险,0,1,112,,,,,,
883173.WI,证监会其他金融,0,1,NaN,,,,,,
883175.WI,证监会租赁,0,1,114,,,,,,
883176.WI,证监会商务服务,0,1,115,116,,,,,
883177.WI,证监会研究试验发展,0,1,117,,,,,,
883178.WI,证监会专业技术服务,0,1,118,119,120,,,,
883180.WI,证监会生态环保,0,1,122,,,,,,
883181.WI,证监会公共设施管理,0,1,123,124,125,,,,
883182.WI,证监会教育Ⅱ,0,1,126,,,,,,
883183.WI,证监会卫生,0,1,127,,,,,,
883184.WI,证监会社会工作,0,1,128,129,,,,,
883185.WI,证监会新闻出版,0,1,130,,,,,,
883186.WI,证监会广电影视录音制作,0,1,131,133,134,,,,
883187.WI,证监会文化艺术,0,1,132,,,,,,
883189.WI,证监会废弃资源综合利用,0,1,91,,,,,,
